"Month","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","Creator"
2021-10-01,5,10,7,9,7,5,2,5,46.1538461538462,53.8461538461538,"adrian bliss"
2021-11-01,2,7,1,6,7,5,4,11,42.8571428571429,57.1428571428571,"adrian bliss"
2021-12-01,1,2,1,1,3,1,1,1,20,80,"adrian bliss"
2022-01-01,2,3,1,5,3,4,1,4,46.1538461538462,53.8461538461538,"adrian bliss"
2022-02-01,1,4,0,1,3,1,0,6,25,75,"adrian bliss"
2022-03-01,1,1,1,1,1,1,1,0,25,75,"adrian bliss"
2022-04-01,1,0,1,1,1,0,0,0,33.3333333333333,66.6666666666667,"adrian bliss"
2022-05-01,1,1,0,1,0,0,1,0,100,0,"adrian bliss"
2022-06-01,1,7,3,4,7,3,4,7,37.5,62.5,"adrian bliss"
2022-07-01,2,3,1,4,2,2,2,6,25,75,"adrian bliss"
2022-08-01,1,2,1,2,1,1,2,0,66.6666666666667,33.3333333333333,"adrian bliss"
2022-09-01,3,2,3,2,2,2,1,2,33.3333333333333,66.6666666666667,"adrian bliss"
2022-10-01,0,2,0,1,1,0,0,0,0,100,"adrian bliss"
2022-11-01,0,3,1,0,1,0,1,0,0,100,"adrian bliss"
2022-12-01,1,2,1,0,2,0,1,2,0,100,"adrian bliss"
NA,0,0,0,0,0,0,0,0,NA,NA,"adrian bliss"
2020-05-01,6,15,3,13,8,3,9,7,44.4444444444444,55.5555555555556,"jeremy lynch"
2020-06-01,2,13,3,6,13,2,5,8,24,76,"jeremy lynch"
2020-07-01,4,6,2,6,3,2,1,3,56.25,43.75,"jeremy lynch"
2020-08-01,3,10,2,6,6,4,4,8,34.6153846153846,65.3846153846154,"jeremy lynch"
2020-09-01,4,7,1,5,8,2,3,4,33.3333333333333,66.6666666666667,"jeremy lynch"
2020-10-01,0,5,0,0,4,0,0,4,22.2222222222222,77.7777777777778,"jeremy lynch"
2020-11-01,3,7,2,3,4,1,2,3,56.25,43.75,"jeremy lynch"
2020-12-01,2,7,0,6,6,2,5,2,47.3684210526316,52.6315789473684,"jeremy lynch"
2021-01-01,1,5,0,2,5,2,2,0,31.25,68.75,"jeremy lynch"
2021-02-01,1,10,0,3,7,1,3,5,25,75,"jeremy lynch"
2021-03-01,2,9,0,5,3,0,1,3,58.3333333333333,41.6666666666667,"jeremy lynch"
2021-04-01,2,8,1,3,6,1,3,4,23.5294117647059,76.4705882352941,"jeremy lynch"
2021-05-01,0,13,1,1,1,0,1,2,81.25,18.75,"jeremy lynch"
2021-06-01,2,12,0,0,2,0,2,2,75,25,"jeremy lynch"
2021-07-01,1,16,0,0,4,0,0,2,60.8695652173913,39.1304347826087,"jeremy lynch"
2021-08-01,3,15,1,4,6,2,3,3,66.6666666666667,33.3333333333333,"jeremy lynch"
2021-09-01,10,24,7,11,11,4,7,14,46,54,"jeremy lynch"
2021-10-01,12,18,7,15,6,5,5,16,59.4594594594595,40.5405405405405,"jeremy lynch"
2021-11-01,7,12,0,7,1,2,3,1,83.3333333333333,16.6666666666667,"jeremy lynch"
